Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C44",0402,2,100nF,
"C10, C28, C31, C9",0402,4,27p,
"C11, C12, C14, C15, C16, C17, C19, C21, C22, C23, C24, C25, C26, C27, C29, C3, C30, C32, C33, C34, C35, C37, C38, C4, C40, C41, C42, C43, C5, C6, C7",0402,31,100n,
C13,0402,1,4.7u,
"C18, C20, C36, C39",0402,4,1u,
C2,CP_Elec_6.3x5.8,1,220u,
C8,0402,1,4.7n,
"D1, D10, D2, D3, D5, D6, D7",0402,7,LED,
"D4, D8, D9",D_SMA,3,D_Schottky,
"J1, J17, J2",PinHeader_1x02_P2.54mm_Vertical,3,2.54-2P,
"J10, J9",TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,2,5.0-2P,
"J11, J12, J13, J14",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,2.54-2P,
J15,PinHeader_2x06_P2.54mm_Vertical,1,2.54-2X6P,
"J16, J18",USB-C-SMD_918-518K2023S50000,2,918-518K2023S50000,C709037
J19,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,47053-1000,C240840
J3,CONN-TH_4P-XT30PW-M,1,XT30PW(2+2)-M,C9900018404
"J5, J6, J7, J8","TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",4,2.54-4P,
L1,L_Sunlord_SWPA6028S,1,22u,
"Q1, Q2",DFN-8_L5.9-W5.2-P1.27-LS6.2-BL,2,HYG017N04LS1C2,C2837481
Q3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,PNMT30V6,C110716
"R1, R23, R24, R25, R26, R38, R40, R43, R44, R7",0402,10,10k,
"R10, R11, R12, R13, R14, R19, R2, R20, R5",0402,9,1k,
"R15, R16",0402,2,33k,
"R17, R18, R27, R28",0402,4,27,
"R21, R22, R3, R39",0402,4,4.7k,
"R29, R30, R42",0402,3,10,
"R31, R32, R41",0402,3,100k,
"R33, R34, R35, R36",0402,4,5.1k,
R37,0402,1,1.5k,
R4,0402,1,3.24k,
R6,0402,1,3k,
"R8, R9",0805,2,56,
"SW1, SW2, SW3, SW4",KEY-SMD_4P-L4.2-W3.4-P2.15-LS4.5-TL,4,TSA016A2518A,C2888427
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U10,HVSON-8_L3.0-W3.0-P0.65-BL-EP,1,TJA1051TK/3/1J,C2875699
"U11, U7",LQFN-56_L7.0-W7.0-P0.4-EP,2,RP2040,
U12,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,"74HCT365D,653",C547597
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-8_L2.9-W1.6-P0.65-LS2.8-BL,1,INA350ABSIDDFR,C5184576
"U4, U8",USON-8_L3.0-W2.0-P0.50-BL-EP,2,W25Q16JVUXIQ,C2843335
U5,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,TPS76925DBVR,C72254
U6,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,TLV333,C473369
U9,LGA-14_L5.0-W3.0-P0.80-BL,1,ADXL345BCCZ,C579456
"X1, X2",OSC-SMD_4P-L3.2-W2.5-BL,2,X322512MSB4SI,C9002
